"price","number_of_reviews","host_total_listings_count","bedrooms","minimum_nights","accommodates","price_level"
59,36,1,2,2,4,"Low"
273,34,2,3,4,6,"Medium"
27,279,15,1,2,4,"Low"
403,253,1,1,30,4,"High"
115,3,11,1,31,1,"Medium"
28,66,1,1,2,2,"Low"
16,168,4,1,2,4,"Low"
46,175,1,1,2,4,"Low"
428,196,1,2,31,5,"High"
403,63,39,4,30,16,"High"
428,119,1,2,2,4,"High"
27,229,1,1,2,4,"Low"
49,33,1,2,3,5,"Low"
387,123,3,1,6,2,"High"
151,89,1,2,4,4,"Medium"
93,177,1,2,3,5,"Medium"
403,290,2,1,2,4,"High"
24,177,7,1,3,2,"Low"
5,112,2,1,2,2,"Low"
395,111,2,1,5,2,"High"
